230317, 과일과채류, 토마토, 토마토,1,0,250,,
230317, 과채류, 오이, 백다다기,1,0,400,,
230317, 엽경채류, 배추, 쌈배추,1,0,90,,
230317, 과일과채류, 딸기, 설향,1,0,875,,
230317, 과일과채류, 토마토, 토마토,1,0,280,,
230317, 과일과채류, 토마토, 토마토,1,0,310,,
230317, 과일과채류, 딸기, 설향,1,0,600,,
230317, 과일과채류, 딸기, 설향,1,0,550,,
230317, 과일과채류, 토마토, 토마토,1,0,310,,
230317, 과일과채류, 딸기, 설향,1,0,600,,
230317, 조미채소류, 대파, 대파,1,0,200,,
230317, 서류, 고구마, 기타,1,0,237,,
230317, 근채류, 무, 세척무,1,0,61.5,,
230317, 과일과채류, 토마토, 토마토,1,0,300,,
230317, 과일과채류, 토마토, 토마토,1,0,280,,
230317, 조미채소류, 대파, 대파,1,0,200,,
230317, 조미채소류, 풋고추, 오이고추,1,0,551.32745,,
230317, 과일과채류, 딸기, 설향,1,0,850,,
230317, 과일과채류, 토마토, 기타토마토,1,0,320,,
230317, 과일과채류, 딸기, 설향,1,0,350,,
230317, 과일과채류, 딸기, 설향,1,0,500,,
230317, 과일과채류, 토마토, 토마토,1,0,230,,
230317, 과일과채류, 토마토, 토마토,1,0,200,,
230317, 과일과채류, 딸기, 설향,1,0,350,,
230317, 과일과채류, 토마토, 토마토,1,0,280,,
230317, 과일과채류, 토마토, 토마토,1,0,310,,
230317, 과일과채류, 딸기, 기타딸기,1,0,450,,
230317, 과일과채류, 딸기, 설향,1,0,1350,,
230317, 조미채소류, 대파, 대파,1,0,185,,
230317, 과일과채류, 딸기, 설향,1,0,575,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,500,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,610,,
230317, 근채류, 당근, 당근,1,0,155,,
230317, 과일과채류, 딸기, 기타딸기,1,0,350,,
230317, 과실류, 사과, 미얀마,1,0,210,,
230317, 과일과채류, 딸기, 설향,1,0,1025,,
230317, 과실류, 사과, 후지,1,0,150,,
230317, 조미채소류, 대파, 대파,1,0,180,,
230317, 양채류, 로메인, 적로메인,1,0,350,,
230317, 엽경채류, 청경채, 청경채,1,0,275,,
230317, 약용작물류, 참당귀, 당귀잎,1,0,550,,
230317, 엽경채류, 청경채, 청경채,1,0,200,,
230317, 엽경채류, 근대, 근대,1,0,125,,
230317, 과일과채류, 딸기, 설향,1,0,720,,
230317, 과실류, 만감, 한라봉,1,0,311.1111,,
230317, 과실류, 만감, 한라봉,1,0,388.8889,,
230317, 조미채소류, 대파, 대파,1,0,180,,
230317, 엽경채류, 청경채, 청경채,1,0,200,,
230317, 엽경채류, 근대, 근대,1,0,125,,
230317, 과일과채류, 딸기, 설향,1,0,720,,
230317, 과실류, 만감, 한라봉,1,0,311.1111,,
230317, 과실류, 만감, 한라봉,1,0,388.8889,,
230317, 조미채소류, 대파, 대파,1,0,180,,
230317, 양채류, 브로코리(녹색꽃양배추), 브로코리,0,0,312.5,,
230317, 양채류, 브로코리(녹색꽃양배추), 브로코리,0,0,312.5,,
230317, 양채류, 브로코리(녹색꽃양배추), 브로코리,0,0,312.5,,
230317, 양채류, 브로코리(녹색꽃양배추), 브로코리,0,0,312.5,,
230317, 양채류, 브로코리(녹색꽃양배추), 브로코리,0,0,312.5,,
230317, 양채류, 브로코리(녹색꽃양배추), 브로코리,0,0,312.5,,
230317, 과일과채류, 딸기, 설향,1,0,325,,
230317, 과일과채류, 딸기, 설향,1,0,770,,
230317, 과일과채류, 딸기, 설향,1,0,220,,
230317, 과일과채류, 딸기, 기타딸기,1,0,400,,
230317, 엽경채류, 봄동배추, 봄동배추,1,0,153,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,525,,
230317, 과실류, 사과, 미얀마,1,0,230,,
230317, 서류, 고구마, 기타,1,0,80,,
230317, 서류, 고구마, 기타,1,0,140,,
230317, 과일과채류, 딸기, 설향,1,0,1060,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,585,,
230317, 과실류, 사과, 후지,1,0,130,,
230317, 산채류, 방풍나물, 방풍나물,1,0,158.25,,
230317, 엽경채류, 부추, 기타부추,1,0,685.75,,
230317, 엽경채류, 갓, 기타갓,1,0,147.7,,
230317, 과실류, 사과, 후지,1,0,300,,
230317, 서류, 고구마, 호박고구마,1,0,155,,
230317, 과일과채류, 딸기, 설향,1,0,400,,
230317, 과일과채류, 딸기, 기타딸기,1,0,600,,
230317, 서류, 고구마, 기타,1,0,135,,
230317, 과실류, 사과, 미얀마,1,0,260,,
230317, 과일과채류, 딸기, 설향,1,0,1240,,
230317, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,190.8,,
230317, 과실류, 배, 신고,1,0,333.33334,,
230317, 과일과채류, 딸기, 설향,1,0,1300,,
230317, 과일과채류, 방울토마토, 대추방울,1,0,665,,
230317, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,170,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 신선 해조류, 다시마, 개다시마,1,0,360,,
230317, 신선 해조류, 미역, 줄기미역,1,0,360,,
230317, 엽경채류, 시레기, 시레기,1,0,50,,
230317, 엽경채류, 머위대, 기타머위대,1,0,520,,
230317, 산채류, 마, 생장마,1,0,1200,,
230317, 엽경채류, 부추, 일반부추,1,0,36,,
230317, 산채류, 기타, 새발나물,1,0,200,,
230317, 엽경채류, 돗나물, 돗나물,1,0,180,,
230317, 엽경채류, 상추, 기타상추,1,0,160,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 신선 해조류, 다시마, 개다시마,1,0,360,,
230317, 신선 해조류, 미역, 줄기미역,1,0,360,,
230317, 엽경채류, 시레기, 시레기,1,0,50,,
230317, 엽경채류, 머위대, 기타머위대,1,0,520,,
230317, 산채류, 마, 생장마,1,0,1200,,
230317, 엽경채류, 부추, 일반부추,1,0,36,,
230317, 산채류, 기타, 새발나물,1,0,200,,
230317, 엽경채류, 돗나물, 돗나물,1,0,180,,
230317, 엽경채류, 상추, 기타상추,1,0,160,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 신선 해조류, 다시마, 개다시마,1,0,360,,
230317, 신선 해조류, 미역, 줄기미역,1,0,360,,
230317, 엽경채류, 시레기, 시레기,1,0,50,,
230317, 엽경채류, 머위대, 기타머위대,1,0,520,,
230317, 산채류, 마, 생장마,1,0,1200,,
230317, 엽경채류, 부추, 일반부추,1,0,36,,
230317, 산채류, 기타, 새발나물,1,0,200,,
230317, 엽경채류, 돗나물, 돗나물,1,0,180,,
230317, 엽경채류, 상추, 기타상추,1,0,160,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 과일과채류, 딸기, 설향,1,0,475,,
230317, 엽경채류, 봄동배추, 봄동배추,1,0,165,,
230317, 과실류, 사과, 후지,1,0,320,,
230317, 근채류, 당근, 세척당근,0,0,95,,
230317, 근채류, 당근, 세척당근,0,0,95,,
230317, 과일과채류, 딸기, 설향,1,0,650,,
230317, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,190.8,,
230317, 과실류, 사과, 후지,1,0,155,,
230317, 과일과채류, 딸기, 기타딸기,1,0,880,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,310,,
230317, 과일과채류, 딸기, 기타딸기,1,0,880,,
